Timestamp,Open,High,Low,Close,Volume
"Jan 01, 2022",47609.27,47617.47,47609.27,47617.47,0.18048582
"Jan 02, 2022",47058.9,47067.0,46978.0,47029.48,3.84230156
"Jan 03, 2022",46503.28,46503.28,46465.49,46465.49,0.13343
"Jan 04, 2022",45717.81,45717.81,45664.42,45669.55,4.2100369
"Jan 05, 2022",45904.12,45925.19,45903.8,45925.19,0.14565
"Jan 06, 2022",43387.55,43387.55,43315.08,43344.38,5.30961826
"Jan 07, 2022",41752.5,41752.5,41715.54,41715.54,0.67297921
"Jan 08, 2022",40668.89,40784.41,40588.88,40628.27,7.36402378
"Jan 09, 2022",41986.2,41988.88,41966.36,41968.15,0.53608116
"Jan 10, 2022",41617.89,41643.4,41554.01,41562.14,0.89465195
"Jan 11, 2022",42762.19,42770.42,42754.03,42764.23,0.25624217
"Jan 12, 2022",43618.04,43630.6,43598.68,43630.6,0.15516272
"Jan 13, 2022",42727.0,42765.83,42693.85,42765.83,0.01175812
"Jan 14, 2022",43100.44,43102.96,43081.7,43084.89,0.19063757
"Jan 15, 2022",43361.79,43380.5,43358.17,43358.17,0.01322
"Jan 16, 2022",43091.86,43105.84,43091.86,43105.84,0.18501538
"Jan 17, 2022",42204.81,42223.16,42204.81,42223.16,0.0573129
"Jan 18, 2022",41622.13,41668.62,41622.13,41642.99,0.85447076
"Jan 19, 2022",42000.58,42048.57,41980.94,42033.53,1.92303189
"Jan 20, 2022",42868.2,42892.85,42800.0,42862.81,10.98920585
"Jan 21, 2022",38336.33,38349.56,38294.12,38349.56,0.43371578
"Jan 22, 2022",34412.93,34470.92,34412.93,34458.78,0.36551827
"Jan 23, 2022",34954.0,35072.43,34954.0,35072.43,4.27349833
"Jan 24, 2022",36188.7,36212.48,36154.52,36186.0,2.29344015
"Jan 25, 2022",37335.86,37365.15,37292.98,37365.15,1.44983941
"Jan 26, 2022",37981.7,38485.0,37909.58,38119.59,38.44764763
"Jan 27, 2022",36220.53,36312.67,36212.47,36294.92,1.26371961
"Jan 28, 2022",37080.63,37135.96,37080.63,37092.21,0.93836494
"Jan 29, 2022",37843.54,37843.54,37822.36,37832.03,0.29826303
"Jan 30, 2022",37850.11,37850.54,37838.22,37838.22,0.30464201
"Jan 31, 2022",38495.66,38511.13,38495.66,38509.08,1.1417597
"Feb 01, 2022",38549.83,38549.83,38473.19,38482.69,3.30120759
"Feb 02, 2022",37495.01,37544.78,37495.01,37543.87,0.97068025
"Feb 03, 2022",36795.98,36806.66,36773.96,36803.57,0.76168258
"Feb 04, 2022",40517.41,40554.89,40511.82,40523.11,15.31440348
"Feb 05, 2022",41699.38,41703.96,41657.49,41680.2,0.08105
"Feb 06, 2022",41543.98,41543.98,41543.98,41543.98,0.00057
"Feb 07, 2022",44107.36,44107.36,44066.57,44068.84,0.09665963
"Feb 08, 2022",43003.97,43012.22,42944.71,42959.08,0.32841152
"Feb 09, 2022",44224.18,44248.51,44224.18,44232.73,0.56123275
"Feb 10, 2022",45254.24,45289.88,45245.17,45255.01,2.68352232
